,source_genesymbol,type,target_genesymbol
0,CALM3,post_translational,TRPC1
1,CALM1,post_translational,TRPC1
2,CALM2,post_translational,TRPC1
3,CAV1,post_translational,TRPC1
4,DRD2,post_translational,TRPC1
5,MDFI,post_translational,TRPC1
6,ITPR2,post_translational,TRPC1
7,MARCKS,post_translational,TRPC1
9,GRM1,post_translational,TRPC1
10,STIM1,post_translational,TRPC1
11,TRPC1,post_translational,TRPC3
12,TRPC3,post_translational,TRPC1
13,TRPC1,post_translational,TRPC4
14,TRPC4,post_translational,TRPC1
15,TRPC1,post_translational,TRPC5
16,TRPC5,post_translational,TRPC1
17,TRPC1,post_translational,TRPC6
18,TRPC1,post_translational,PKD2
19,PKD2,post_translational,TRPC1
20,TRPC1,post_translational,TRPV4
21,TRPV4,post_translational,TRPC1
22,TRPC1,post_translational,TRPV6
23,CALM3,post_translational,TRPC3
24,CALM1,post_translational,TRPC3
25,CALM2,post_translational,TRPC3
26,CASR,post_translational,TRPC3
27,EPOR,post_translational,TRPC3
28,HOMER1,post_translational,TRPC3
29,ITPR1,post_translational,TRPC3
30,ITPR3,post_translational,TRPC3
31,ASPH,post_translational,TRPC3
32,ORAI1,post_translational,TRPC3
33,PRKG1,post_translational,TRPC3
34,RNF24,post_translational,TRPC3
35,SRC,post_translational,TRPC3
36,TRPM4,post_translational,TRPC3
37,PKD2,post_translational,TRPC3
38,WNK4,post_translational,TRPC3
40,SLC9A3R1,post_translational,TRPC4
41,RNF24,post_translational,TRPC4
42,CABP1,post_translational,TRPC5
43,NCS1,post_translational,TRPC5
44,SESTD1,post_translational,TRPC5
45,TRPC5,post_translational,TRPC6
46,CALM3,post_translational,TRPC6
47,CALM1,post_translational,TRPC6
48,CALM2,post_translational,TRPC6
49,FYN,post_translational,TRPC6
50,MX1,post_translational,TRPC6
51,NPHS1,post_translational,TRPC6
53,PRKG1,post_translational,TRPC6
54,NPHS2,post_translational,TRPC6
55,RNF24,post_translational,TRPC6
56,SNF8,post_translational,TRPC6
58,PRKG1,post_translational,TRPC7
59,PKD2,post_translational,TRPC7
60,CALM3,post_translational,TRPV1
61,CALM1,post_translational,TRPV1
62,CALM2,post_translational,TRPV1
63,CNR1,post_translational,TRPV1
64,CDK5,post_translational,TRPV1
66,FAF1,post_translational,TRPV1
67,GABARAP,post_translational,TRPV1
68,KIF13B,post_translational,TRPV1
69,PIRT,post_translational,TRPV1
70,PRKACA,post_translational,TRPV1
71,SRC,post_translational,TRPV1
72,NTRK1,post_translational,TRPV1
73,EGFR,post_translational,TRPV3
74,CALM3,post_translational,TRPV4
75,CALM1,post_translational,TRPV4
76,CALM2,post_translational,TRPV4
77,FYN,post_translational,TRPV4
78,HCK,post_translational,TRPV4
79,ITPR3,post_translational,TRPV4
80,LCK,post_translational,TRPV4
81,LYN,post_translational,TRPV4
82,MAP7,post_translational,TRPV4
83,OS9,post_translational,TRPV4
84,PACSIN3,post_translational,TRPV4
85,SRC,post_translational,TRPV4
87,PKD2,post_translational,TRPV4
89,YES1,post_translational,TRPV4
90,BSPRY,post_translational,TRPV5
91,CALB1,post_translational,TRPV5
92,CALM3,post_translational,TRPV5
93,CALM1,post_translational,TRPV5
94,CALM2,post_translational,TRPV5
95,KL,post_translational,TRPV5
96,RAB11A,post_translational,TRPV5
97,S100A10,post_translational,TRPV5
98,TGM2,post_translational,TRPV5
99,MCOLN3,post_translational,TRPV5
100,TRPV5,post_translational,MCOLN3
101,TRPV6,post_translational,TRPV5
102,TRPV5,post_translational,TRPV6
103,CALM3,post_translational,TRPV6
104,CALM1,post_translational,TRPV6
105,CALM2,post_translational,TRPV6
106,FYN,post_translational,TRPV6
